Title,Chain,Category,Type of Issue,Funds Lost,Date
Unleash Protocol,Other,NFT,Access Control,"$3,900,000",2025-12-30
Flow Network,Other,Other,Other,"$3,900,000",2025-12-27
Trust Wallet,ETH,Other,Access Control,"$7,000,000",2025-12-26
Yearn Finance,ETH,Yield Aggregator,Flash Loan Attack,"$300,000",2025-12-17
Zerobase,BSC,Yield Aggregator,Phishing,"$240,000",2025-12-12
MUBARA,BSC,Token,Phishing,"$55,000",2025-12-10
DMi,BSC,Token,Other,"$124,000",2025-12-08
Eden Network,ETH,Other,Access Control,"$54,000",2025-12-08
WaveX,Other,Exchange (DeFi),Other,"$430,000",2025-12-06
USPD,ETH,Stablecoin,Access Control,"$200,000",2025-12-05
Goldfinch Finance,ETH,Other,Other,"$330,000",2025-12-02
Yearn Finance,ETH,Yield Aggregator,Other,"$9,000,000",2025-11-30
Upbit,SOL,CeFi,Other,"$36,000,000",2025-11-27
GANA Payment,BSC,Token,Other,"$3,100,000",2025-11-20
Impermax,Base,Borrowing & Lending,Other,"$380,000",2025-11-11
DIMO,ETH,Other,Access Control,"$40,000",2025-11-07
Moonwell,Base,Borrowing & Lending,Oracle Issue,"$3,700,000",2025-11-04
Stream Finance,ETH,Stablecoin,Other,"$93,000,000",2025-11-04
Balancer,ETH,Exchange (DeFi),Access Control,"$128,000,000",2025-11-03
Beets,Other,Exchange (DeFi),Access Control,"$3,000,000",2025-11-03
Garden Finance,ETH,Bridge,Other,"$11,000,000",2025-10-30
402Bridge,Base,Bridge,Access Control,"$17,000",2025-10-27
Sharwa Finance,ARB,Borrowing & Lending,Other,"$147,000",2025-10-20
Typus Finance,Other,Yield Aggregator,Oracle Issue,"$3,439,998",2025-10-15
Hyperliquid User,HYPEREVM,Other,Access Control,"$21,000,000",2025-10-10
Astera,Linea,Borrowing & Lending,Flash Loan Attack,"$821,856",2025-10-09
VeloraDEX,BSC,Exchange (DeFi),Other,"$20,000",2025-10-07
Squid,ETH,Exchange (DeFi),Other,"$90,000",2025-10-07
Abracadabra,ETH,Stablecoin,Other,"$1,700,000",2025-10-04
EIP-7702 Delegation,BSC,Other,Other,"$336,000",2025-10-03
Hyperdrive,HYPEREVM,Borrowing & Lending,Other,"$782,000",2025-09-28
GriffinAI,BSC,Other,Access Control,"$3,000,000",2025-09-25
SBI Crypto,CEX,CeFi,Access Control,"$24,000,000",2025-09-24
Seedify,ETH,Bridge,Access Control,"$1,200,000",2025-09-23
UXLINK,ETH,Other,Access Control,"$48,000,000",2025-09-22
New Gold Protocol,BSC,Token,Flash Loan Attack,"$2,000,000",2025-09-18
